secao,chave,canal,marca,alvo_proposto,ofertas_afetadas,composicao_empirica,componentes,unidades,pedidos_de_evidencia,ultima_evidencia,evidencia,alerta,responsavel,estado,decidido_em,observacao
chave_de_canal,KIT019,shopee|tiktok,apice,,2,sim,3,3.0,48,2026-09-22 13:08:44,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT020,shopee|tiktok,apice,,2,sim,3,3.0,1,2026-07-08 17:03:37,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT021,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT022,shopee|tiktok,apice,,2,sim,6,6.0,1,2026-07-29 14:55:55,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT023,shopee|tiktok,apice,,2,sim,4,4.0,7,2026-09-21 06:47:29,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT024,shopee|tiktok,apice,,2,sim,3,3.0,3,2026-07-14 06:18:47,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT025,shopee|tiktok,apice,,2,sim,7,7.0,10,2026-09-18 06:44:48,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT026,shopee|tiktok,apice,,2,sim,3,3.0,22,2026-07-29 21:07:14,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT027,shopee|tiktok,apice,,2,sim,4,4.0,3,2026-09-09 20:47:37,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT028,tiktok,apice,,1,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT029,shopee|tiktok,apice,,4,sim,6,6.0,45,2026-09-22 09:36:46,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT030,tiktok,apice,,1,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT031,shopee|tiktok,apice,,2,sim,2,2.0,51,2026-09-21 07:18:52,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT032,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT033,shopee|tiktok,apice,,2,sim,3,3.0,6,2026-09-09 21:00:51,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT034,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT035,shopee|tiktok,apice,,2,sim,3,3.0,130,2026-09-24 23:17:50,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT036,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT037,shopee|tiktok,apice,,2,sim,3,3.0,167,2026-09-24 12:04:19,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT038,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT039,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT040,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT041,shopee|tiktok,apice,,2,sim,7,7.0,5,2026-09-24 22:06:35,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT042,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT043,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT044,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT045,shopee|tiktok,apice,,2,sim,2,2.0,4,2026-09-09 23:44:40,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT046,shopee|tiktok,apice,,2,sim,3,3.0,48,2026-09-23 19:26:21,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT047,shopee|tiktok,apice,,2,sim,3,3.0,13,2026-09-04 21:50:02,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT048,shopee|tiktok,apice,,2,sim,5,5.0,5,2026-09-24 23:11:28,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT049,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT050,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT051,shopee|tiktok,apice,,2,sim,2,2.0,3,2026-09-12 13:03:21,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT052,shopee|tiktok,apice,,2,sim,3,3.0,9,2026-07-31 13:26:27,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT053,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT054,shopee|tiktok,apice,,2,sim,3,3.0,24,2026-09-21 10:03:59,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT055,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT056,shopee|tiktok,apice,,2,sim,4,4.0,7,2026-08-29 11:31:34,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT057,shopee|tiktok,apice,,2,sim,3,3.0,3,2026-07-23 08:50:27,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT058,shopee|tiktok,apice,,2,sim,7,7.0,3,2026-09-17 07:39:37,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT059,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT060,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT061,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT062,shopee|tiktok,apice,,3,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT063,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT064,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT065,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT066,shopee|tiktok,apice,,2,sim,3,3.0,143,2026-09-24 14:50:02,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT067,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT068,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT069,shopee|tiktok,apice,,3,sim,5,5.0,11,2026-09-22 11:45:20,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT070,shopee|tiktok,apice,,3,sim,5,5.0,540,2026-09-24 22:16:02,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT071,shopee|tiktok,apice,,2,sim,5,5.0,15,2026-09-21 07:04:54,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT072,shopee|tiktok,apice,,3,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT073,shopee|tiktok,apice,,4,sim,5,5.0,60,2026-09-21 16:42:00,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT074,shopee|tiktok,apice,,2,sim,2,2.0,148,2026-09-24 18:48:49,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT075,shopee|tiktok,apice,,3,sim,2,2.0,7,2026-09-18 06:49:09,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT076,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT077,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT078,shopee|tiktok,apice,,2,sim,4,4.0,2,2026-09-22 10:52:27,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT079,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT080,shopee|tiktok,apice,,3,sim,5,5.0,5,2026-09-14 12:27:45,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT081,shopee|tiktok,apice,,2,sim,6,6.0,3,2026-09-22 21:27:59,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT084,shopee|tiktok,apice,,2,sim,2,2.0,45,2026-09-21 06:51:01,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT085,shopee|tiktok,apice,,2,sim,3,3.0,4,2026-09-14 12:09:06,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT086,shopee|tiktok,apice,,2,sim,2,2.0,38,2026-09-24 20:55:48,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT087,shopee|tiktok,apice,,2,sim,4,4.0,7,2026-09-23 21:08:47,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT088,shopee|tiktok,apice,,2,sim,5,5.0,49,2026-09-24 22:32:53,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT089,shopee|tiktok,apice,,2,sim,2,2.0,8,2026-09-21 07:03:34,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT090,shopee|tiktok,apice,,2,sim,2,2.0,45,2026-09-24 16:24:37,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT091,shopee|tiktok,apice,,2,sim,2,2.0,39,2026-09-23 12:54:18,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT092,shopee|tiktok,apice,,2,sim,2,2.0,53,2026-09-24 16:03:14,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT093,shopee|tiktok,apice,,2,sim,2,2.0,3,2026-09-14 12:24:17,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT094,shopee|tiktok,apice,,3,sim,5,5.0,28,2026-09-24 16:55:25,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT095,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT096,shopee|tiktok,apice,,2,sim,2,2.0,94,2026-09-24 14:18:59,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT097,shopee|tiktok,apice,,2,sim,3,3.0,6,2026-09-21 16:31:40,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT098,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT099,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT100,shopee|tiktok,apice,,2,sim,2,2.0,5,2026-09-24 13:40:42,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,VK35230,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,VK35231,shopee|tiktok,apice,,2,sim,2,2.0,47,2026-09-24 17:07:34,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,VK35232,shopee|tiktok,apice,,2,sim,2,2.0,45,2026-08-04 13:21:49,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,VKN35230,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,VKN35231,shopee|tiktok,apice,,2,sim,2,2.0,204,2026-09-24 14:22:02,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,VKN35232,shopee|tiktok,apice,,2,sim,2,2.0,224,2026-08-08 04:49:20,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,BB02090,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT001,shopee|tiktok,barbours,,7,sim,5,5.0,48,2026-09-24 22:31:33,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT002,shopee|tiktok,barbours,,3,sim,2,2.0,4,2026-07-26 13:15:02,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT003,shopee|tiktok,barbours,,2,sim,9,9.0,3,2026-09-19 17:33:12,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT004,shopee|tiktok,barbours,,3,sim,3,3.0,168,2026-09-24 21:37:40,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT005,shopee|tiktok,barbours,,2,sim,7,7.0,6,2026-09-23 22:00:25,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT006,shopee|tiktok,barbours,,3,sim,4,4.0,2,2026-09-20 20:40:44,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT007,shopee|tiktok,barbours,,2,sim,5,5.0,12,2026-09-23 15:10:35,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT008,shopee|tiktok,barbours,,2,sim,10,10.0,3,2026-09-24 10:44:32,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT009,shopee|tiktok,barbours,,2,sim,4,4.0,185,2026-09-24 16:11:39,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT010,shopee|tiktok,barbours,,2,sim,4,4.0,4,2026-08-31 15:06:28,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT011,shopee|tiktok,barbours,,5,sim,8,8.0,3,2026-09-19 20:14:05,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT012,shopee|tiktok,barbours,,2,sim,4,4.0,3,2026-09-13 19:53:11,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT013,shopee|tiktok,barbours,,2,sim,2,2.0,43,2026-09-10 12:57:56,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT014,shopee|tiktok,barbours,,2,sim,2,2.0,1,2026-07-12 10:43:07,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT015,shopee|tiktok,barbours,,2,sim,5,5.0,2,2026-09-05 22:46:50,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT016,shopee|tiktok,barbours,,2,sim,4,4.0,1,2026-09-22 02:11:13,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT017,shopee|tiktok,barbours,,2,sim,5,5.0,5,2026-09-09 12:30:29,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT018,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT019,shopee|tiktok,barbours,,2,sim,3,3.0,48,2026-09-22 13:08:44,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT020,shopee|tiktok,barbours,,2,sim,3,3.0,1,2026-07-08 17:03:37,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT021,shopee|tiktok,barbours,,4,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT022,shopee|tiktok,barbours,,5,sim,6,6.0,1,2026-07-29 14:55:55,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT023,shopee|tiktok,barbours,,2,sim,4,4.0,7,2026-09-21 06:47:29,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT024,shopee|tiktok,barbours,,3,sim,3,3.0,3,2026-07-14 06:18:47,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT025,shopee|tiktok,barbours,,3,sim,7,7.0,10,2026-09-18 06:44:48,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT026,shopee|tiktok,barbours,,3,sim,3,3.0,22,2026-07-29 21:07:14,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT027,shopee|tiktok,barbours,,2,sim,4,4.0,3,2026-09-09 20:47:37,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT028,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT029,shopee|tiktok,barbours,,2,sim,6,6.0,45,2026-09-22 09:36:46,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT030,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT031,shopee|tiktok,barbours,,2,sim,2,2.0,51,2026-09-21 07:18:52,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT032,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT033,shopee|tiktok,barbours,,2,sim,3,3.0,6,2026-09-09 21:00:51,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT034,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT035,shopee|tiktok,barbours,,3,sim,3,3.0,130,2026-09-24 23:17:50,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT036,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT037,shopee|tiktok,barbours,,2,sim,3,3.0,167,2026-09-24 12:04:19,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT038,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT039,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT040,shopee|tiktok,barbours,,3,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT041,shopee|tiktok,barbours,,2,sim,7,7.0,5,2026-09-24 22:06:35,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT042,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT043,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT044,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT045,shopee|tiktok,barbours,,3,sim,2,2.0,4,2026-09-09 23:44:40,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT046,shopee|tiktok,barbours,,2,sim,3,3.0,48,2026-09-23 19:26:21,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT047,shopee|tiktok,barbours,,2,sim,3,3.0,13,2026-09-04 21:50:02,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT048,shopee|tiktok,barbours,,2,sim,5,5.0,5,2026-09-24 23:11:28,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT049,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT050,tiktok,barbours,,1,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT051,shopee|tiktok,barbours,,3,sim,2,2.0,3,2026-09-12 13:03:21,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT052,shopee|tiktok,barbours,,2,sim,3,3.0,9,2026-07-31 13:26:27,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT053,tiktok,barbours,,1,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT056,shopee|tiktok,barbours,,3,sim,4,4.0,7,2026-08-29 11:31:34,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT057,shopee|tiktok,barbours,,2,sim,3,3.0,3,2026-07-23 08:50:27,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT058,shopee|tiktok,barbours,,2,sim,7,7.0,3,2026-09-17 07:39:37,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT059,shopee|tiktok,barbours,,3,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT060,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT061,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT062,shopee|tiktok,barbours,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
